"chembl_id"," LogP"," SMR"," TPSA"," Molecular Weight"," Rotatable Bonds"," H-Bond Donors"," H-Bond Acceptors"," Aromatic Rings"
"CHEMBL1254991",3.6977,99.4134,77.76,364.261359632,2,3,3,0
"CHEMBL1255075",4.91688,106.6246,64.25,373.298079488,3,2,3,0
"CHEMBL1255076",4.13668,97.3906,64.25,345.26677936,1,2,3,0
"CHEMBL1255080",4.9144,101.3975,58.14,410.161740824,7,2,3,3
"CHEMBL1256102",8.6645,122.2206,40.46,630.180346964,8,2,2,1
"CHEMBL1256103",9.0546,126.8376,40.46,644.195997028,9,2,2,1
"CHEMBL1256104",8.9675,127.1078,29.46,644.195997028,9,1,2,1
"CHEMBL1256105",9.3576,131.7248,29.46,658.211647092,10,1,2,1
"CHEMBL1257167",7.1487,111.9966,40.46,494.205577708,6,2,2,1
"CHEMBL1257168",7.0616,112.2668,29.46,494.205577708,6,1,2,1
"CHEMBL1257284",7.4517,116.8838,29.46,508.221227772,7,1,2,1
"CHEMBL1257453",5.1527,106.9453,65.38,422.161740824,7,3,4,3
"CHEMBL1257454",5.76412,116.5695,54.38,450.193040952,8,2,4,3
"CHEMBL1257572",5.46112,111.6823,65.38,436.177390888,7,3,4,3
"CHEMBL1258783",6.7586,107.3796,40.46,480.189927644,5,2,2,1
"CHEMBL1258901",6.7586,107.3796,40.46,480.189927644,5,2,2,1
"CHEMBL1258902",7.1487,111.9966,40.46,494.205577708,6,2,2,1
"CHEMBL1276308",5.4065,129.4318,40.54,429.26677936,2,1,3,1
"CHEMBL1644754",5.67342,104.6054,44.89,352.134240972,1,2,2,3
"CHEMBL1644755",5.84752,109.2164,44.89,366.149891036,1,2,2,3
"CHEMBL1644756",6.40372,118.3564,44.89,392.1655411,3,2,2,3
"CHEMBL1644757",7.18392,127.5904,44.89,420.196841228,3,2,2,3
"CHEMBL1644759",5.46522,105.6052,48.05,354.149891036,1,3,2,3
"CHEMBL1644760",5.46522,105.6052,48.05,354.149891036,1,3,2,3
"CHEMBL1644761",5.63932,110.2162,48.05,368.1655411,1,3,2,3
"CHEMBL1644765",5.46522,105.6052,48.05,354.149891036,1,3,2,3
"CHEMBL1645392",3.04178,91.4155,98.23,361.109627088,5,1,6,3
"CHEMBL1645393",3.43694,91.8805,72.2,342.103813436,5,1,4,3
"CHEMBL1645394",3.44554,98.4325,81.43,372.11437812,6,1,5,3
"CHEMBL1645395",3.58464,98.3905,81.43,390.104956308,6,1,5,3
"CHEMBL1645396",5.2866,108.8755,55.4,439.021197952,6,1,3,3
"CHEMBL1641638",4.14564,103.1015,81.43,404.120606372,6,1,5,3
"CHEMBL1645397",4.14564,103.1015,81.43,404.120606372,6,1,5,3
"CHEMBL1645398",3.40154,100.9385,94.32,387.125277152,6,1,6,3
"CHEMBL1645399",3.99434,101.0185,94.32,423.106433528,7,1,6,3
"CHEMBL1645400",3.27322,105.6535,118.11,412.12052612,6,1,7,3
"CHEMBL1645401",4.2931,105.3345,73.22,457.108325348,7,1,5,3
"CHEMBL1645402",3.549,103.1715,86.11,440.112996128,7,1,6,3
"CHEMBL1645403",3.42068,107.8865,109.9,465.108245096,7,1,7,3
"CHEMBL1649686",4.6719,122.1763,69.56,431.3399443,6,3,3,0
"CHEMBL1649687",5.7377,159.3106,64.01,550.413443588,7,2,4,1
"CHEMBL1649688",3.8251,130.4613,72.8,460.366493396,5,3,4,0
"CHEMBL1649689",4.2521,128.4106,70,461.350508984,5,2,4,0
"CHEMBL1649690",5.7097,139.3003,69.56,481.355594364,7,3,3,1
"CHEMBL1649691",6.2707,144.0113,69.56,495.371244428,7,3,3,1
"CHEMBL1649692",5.7522,144.1673,69.56,495.371244428,8,3,3,1
"CHEMBL1682441",4.7816,95.7742,48.05,342.1543697,1,3,2,3
"CHEMBL1762202",6.53492,118.0814,49.41,411.212218924,3,2,3,3
"CHEMBL1762203",6.8799,118.3544,49.41,431.157596508,3,2,3,3
"CHEMBL1762204",6.14482,113.4644,49.41,397.19656886,3,2,3,3
"CHEMBL1762209",5.50732,119.4932,69.64,427.207133544,4,3,4,3
"CHEMBL1760023",4.33702,105.6422,69.64,385.160183352,2,3,4,3
"CHEMBL1762210",4.72712,110.2592,69.64,399.175833416,3,3,4,3
"CHEMBL1800979",4.9399,99.2517,41.99,336.12963426,6,1,3,3
"CHEMBL1800980",4.9485,105.8037,51.22,366.140198944,7,1,4,3
"CHEMBL1800981",4.1796,98.6695,75.11,371.110376036,6,2,5,3
"CHEMBL1800982",4.803,106.4115,75.11,431.030309916,6,2,5,3
"CHEMBL1800983",4.34892,103.4485,75.11,367.135447912,6,2,5,3
"CHEMBL1800984",4.7512,100.9905,71.45,366.103813436,4,2,5,3
"CHEMBL1800985",4.1462,98.7855,84.34,367.099062404,4,2,6,3
"CHEMBL1800986",4.1462,98.7855,84.34,367.099062404,4,2,6,3
"CHEMBL1800987",4.4406,97.1207,64.11,351.104147784,4,1,5,3
"CHEMBL1801003",4.8481,110.921,79.29,394.135113564,7,2,5,3
"CHEMBL1801004",4.0405,98.7115,75.11,353.119797848,6,2,5,3
"CHEMBL1801005",4.51718,105.6315,86.01,377.119797848,6,2,5,3
"CHEMBL1801006",5.408,108.6165,62.22,430.035060948,6,2,4,3
"CHEMBL1801007",4.7846,100.8745,62.22,370.115127068,6,2,4,3
