molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
326946,130,5.2096,126.0408,198.691421255,95.86,469.226451344,8,3,5,1,7,34,66,4,2,1,2,0,0,1,2,1,1
326960,120,5.34902,135.4953,208.8762507071,112.66,496.237350376,8,3,6,1,8,36,69,4,3,1,1,1,0,0,2,1,1
352765,10000,5.19282,125.2335,199.6832035319,92.43,488.192292004,7,2,5,1,9,35,62,4,3,0,1,1,0,0,2,0,1
352766,6.31,5.82892,134.3975,212.4130877607,92.43,516.223592132,9,2,5,1,9,37,68,4,3,0,1,1,0,0,2,0,1
352805,19.95,5.19282,125.2335,199.6832035319,92.43,488.192292004,8,2,5,1,9,35,62,4,3,0,1,1,0,0,2,0,1
352806,39.81,4.80272,123.0495,198.6773723784,92.43,486.17664194,7,2,5,1,9,35,60,5,3,1,2,1,0,0,2,1,2
352838,9.12,4.80272,120.6165,193.3182614175,92.43,474.17664194,7,2,5,1,9,34,59,4,3,0,1,1,0,0,2,0,1
352840,18.62,5.04872,125.1635,199.6832035319,92.43,488.192292004,7,2,5,1,9,35,62,4,3,0,1,1,0,0,2,0,1
352841,1000,5.58292,129.8505,206.0481456463,92.43,502.207942068,9,2,5,1,9,36,65,4,3,0,1,1,0,0,2,0,1
352970,10000,4.41262,115.9995,186.9533193031,92.43,460.160991876,6,2,5,1,9,33,56,4,3,0,1,1,0,0,2,0,1
353190,1000,5.43882,129.7805,206.0481456463,92.43,502.207942068,8,2,5,1,9,36,65,4,3,0,1,1,0,0,2,0,1
353191,17.38,5.19282,127.6665,205.0423144928,92.43,500.192292004,7,2,5,1,9,36,63,5,3,1,2,1,0,0,2,1,2
353221,17.78,5.58292,132.2835,211.4072566072,92.43,514.207942068,7,2,5,1,9,37,66,5,3,1,2,1,0,0,2,1,2
353259,20.89,5.97302,136.9005,217.7721987216,92.43,528.223592132,7,2,5,1,9,38,69,5,3,1,2,1,0,0,2,1,2
365281,1137.1842857143,1.8957,99.9444,163.8717856113,94.83,392.199902248,2,3,5,0,6,28,57,4,0,3,4,0,0,0,0,3,4
365289,12.59,4.03112,117.9345,192.0668645326,101.66,476.155906496,7,2,6,1,10,34,57,4,3,0,1,1,0,1,2,0,0
369922,10,5.99,142.6908,216.9898438617,77.35,509.22359422,11,1,6,0,7,36,71,5,2,1,3,0,1,2,2,0,1
370011,10,6.0413,129.5558,197.9560921599,68.65,463.181729408,9,1,5,0,6,33,62,5,3,0,2,1,0,0,2,0,2
389285,0.3,7.2533,154.02,226.7559291581,71.03,528.208278504,4,2,6,1,7,38,70,6,3,1,3,1,1,3,2,0,0
